mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-0.28949286451814904,0.08323855733105667,0.03461877364223296,0.011047167688445636,-0.5996987361031637,5.6697172190514715,-0.08799036440194978,0.030675397872976067
-0.11989248568131418,1.1801802055068342,0.03219389403159233,0.011953236007882164,-0.5340933328286095,1.112858809938618,-0.08610317851243779,0.0030252736717393453
0.1679485296806098,1.5769113317144112,0.030515968961989597,0.01146202574151205,-0.5648205635425892,2.3148770444054026e-05,-0.0859399279750639,0.0002950384126354527
-0.18167598716869138,2.3603327753051686,0.030559848086165343,0.011499398573878904,-0.517509239542837,6.586679009987865e-05,-0.08591579650308463,2.2210814637123837e-05
0.032544303856868684,1e-06,0.03230062426401074,0.011415462867647283,-0.5073812034776174,1.841680599247263e-05,-0.08591784063659494,2.0999202346542583e-06
0.09498210779851801,1.6005670207298448,0.03422140432209566,0.011871356543383881,-0.5503195446711121,4.937746383251301e-05,-0.0859177940484084,1.5224591834159456e-07
-0.12090382713620952,0.3474188882869048,0.053362608342116646,0.011048524781212482,-0.46251046144654684,0.00010258231115578556,-0.08591777920814707,3.162277660168379e-08
0.11340048019161976,2.1637205661145344,0.039447147522597634,0.010562598302620364,-0.482032560168857,0.00013189624143084884,-0.08591778026978275,3.162277660168379e-08
-0.03792485641801924,1e-06,0.035732721005787386,0.010382914917808192,-0.5194598423440687,0.00041933682610220403,-0.08591778042213748,3.162277660168379e-08
0.16388379273684928,1.2917965059705572,0.03438166030890687,0.011929690284200404,-0.6169394702777194,0.0002953295055330318,-0.08591778180460789,3.162277660168379e-08
0.11084375638644463,1.6815151797873973,0.03296038795055228,0.011681422515206394,-0.5722334989817867,0.00021185389523849392,-0.08591778390308959,3.162277660168379e-08
0.26717454333066293,2.9473469916733435,0.032714638588547375,0.011206745145228146,-0.5931848362350893,0.00011963005197295135,-0.08591778499540001,3.162277660168379e-08
0.2899240950833686,1e-06,0.03301784028448516,0.010638539619082392,-0.5349551075510321,0.00015473276883405716,-0.0859177808220101,3.162277660168379e-08
-0.02463497520962188,1.5318500515224809,0.03722407752093965,0.011352449078742157,-0.4956771737052057,0.00018722099074513143,-0.08591778385263371,3.162277660168379e-08
0.4704098991556976,1e-06,0.023591369886334493,0.011401081731486637,-0.5566647536835895,0.00012983880691353782,-0.0859177844448645,3.162277660168379e-08
0.25807573939517225,3.0207214852349984,0.03891307466563192,0.011249282480484638,-0.5656074996707903,0.0005427322881165257,-0.08591778188058476,3.162277660168379e-08
-0.0829115948579271,0.10193843061125174,0.05340250420721471,0.011755697264772474,-0.5252669692472114,0.00042794868814669765,-0.08591777979927714,3.162277660168379e-08
-0.06791960592460078,0.6123957795113371,0.036420997176541355,0.010856469278818257,-0.5873650863294076,0.0002836063238468577,-0.085917781113624,3.162277660168379e-08
0.1217777240382052,0.49400751755237265,0.03447281213433645,0.011583701954350102,-0.5347157160186883,0.0002121228325952163,-0.08591778167406196,3.162277660168379e-08
0.03136528978655573,1.3559381819832792,0.04054477387364402,0.011459887194576822,-0.4355521563243443,0.00020692444033055757,-0.08591778065964724,3.162277660168379e-08
-0.10344938213598844,0.9784485248896999,0.04429842990734568,0.011139619805553204,-0.5662154995998486,0.00030029619453781774,-0.08591777989321236,3.162277660168379e-08
0.12310539127613375,0.5470707149763145,0.04952689607417875,0.010669842131415771,-0.6656886605139326,0.0004376099550786617,-0.0859177799956181,3.162277660168379e-08
0.17918337363805925,0.914612496104411,0.051912037384076556,0.011326190347102928,-0.6744391544083086,0.0008804926847081937,-0.08591777900245008,3.162277660168379e-08
0.2045440419402038,0.3912846060497489,0.06043701026945128,0.011493148549363263,-0.6911714494282984,0.002008185397582512,-0.08591778004175098,3.162277660168379e-08
0.16618540680629623,0.22355215619221006,0.09002362323723334,0.010656732391733287,-0.6772738135632258,0.003489939315717507,-0.0859177794621068,3.162277660168379e-08
-0.009516180442138311,0.3671537483062032,0.08678443552395144,0.011138634048932103,-0.6946663217864285,0.006123265732985692,-0.08591778016971668,3.162277660168379e-08
-0.12177793150308171,1.1370415315539413,0.07092263216528007,0.010473829095194103,-0.7379552507356696,0.008984136720820943,-0.0859177806836653,3.162277660168379e-08
-0.13810930751526718,2.0728145430360767,0.06745433772817398,0.01144204263525466,-0.7065892622685126,0.009809555255008272,-0.0859177819432919,3.162277660168379e-08
0.13450583591281218,1.0136303501360355,0.0641986320437517,0.010959328574094172,-0.6991961413119504,0.00906288448335279,-0.08591778208569018,3.162277660168379e-08
-0.08385456669638591,2.6162907585682844,0.062156991029430946,0.010763293707294156,-0.7325683779157359,0.010534547156878491,-0.08591778247045194,3.162277660168379e-08
0.08266272754767479,0.18013396200678466,0.06385633657652272,0.010862723819809541,-0.6774419874134623,0.006478155934714855,-0.08591778278349753,3.162277660168379e-08
0.025741764256508096,0.30463283056318846,0.06033681382399926,0.011356883823218289,-0.696646110174111,0.006736375542439232,-0.0859177824131798,3.162277660168379e-08
0.24060517508816995,1e-06,0.06542347839151334,0.01127338459085723,-0.7259205582493918,0.007051062541271997,-0.08591778120412946,3.162277660168379e-08
-0.3044846902183741,1.3612511397574667,0.06009573247820149,0.011621935904695919,-0.6876670661676132,0.008660250979196878,-0.08591778046409808,3.162277660168379e-08
0.3375549855310114,1e-06,0.05992414176673131,0.011090640726282562,-0.6307318872073552,0.0030528030676791737,-0.08591778017420493,3.162277660168379e-08
-0.25609622017091993,1e-06,0.054048163150028396,0.010880231999857682,-0.6837319736995788,0.008603762026576993,-0.0859177804403116,3.162277660168379e-08
0.17536222413528324,1e-06,0.09722964430523241,0.010976055826181875,-0.6876323316067929,0.003576984194022809,-0.0859177788533161,3.162277660168379e-08
-0.020574000738937448,1e-06,0.057214878980840864,0.01151577405988924,-0.6868955340670128,0.004208480489785298,-0.08591777948747174,3.162277660168379e-08
