mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
0.1675924061387406,1.34562133321909,0.045203839498272017,0.009719642985438788,-0.4643737496907189,0.00645865796581619,-0.09410310737357651,3.162277660168379e-08
0.1452460817559582,0.4459421332356938,0.044985640170195414,0.008761155980743241,-0.49213025740612,0.003804388097343844,-0.09410310570439014,3.162277660168379e-08
0.14583697436074936,0.7826345242177731,0.04465301814037853,0.009116477859761676,-0.4885859554075355,0.010689600234863875,-0.09410311142090849,3.162277660168379e-08
0.15655729131654889,1.2943545503823448,0.0455952806586353,0.008964432745058572,-0.43792794106608124,0.005911005506190867,-0.09410310736454768,3.162277660168379e-08
0.09737893742485246,1e-06,0.04557984876441459,0.008344720863733656,-0.4766968255359957,0.009764219789607629,-0.09410310854346382,3.162277660168379e-08
0.09762824184654262,2.1169670822066236,0.04536663854779025,0.009145748669010443,-0.45098850783428646,0.007726272321723911,-0.09410310555313799,3.162277660168379e-08
0.05008811375409228,2.656539747517442,0.04518520061335577,0.008669722615183392,-0.5241853508347445,0.005494459012333779,-0.09410310527096961,3.162277660168379e-08
0.06387151062437488,1.4323558112472716,0.04543084407599567,0.008413160349394625,-0.5370219775050349,0.005679096026351578,-0.0941031067053819,3.162277660168379e-08
0.08460242499379415,1.6742813289990155,0.04513646635990135,0.008419530872882717,-0.5376682490118263,0.005657784714161045,-0.09410310784464972,3.162277660168379e-08
0.13964601253650097,1.051380154159019,0.04564532726755781,0.008493864740461661,-0.5071137862726118,0.004550725604846897,-0.09410310668873456,3.162277660168379e-08
-0.03768365712478687,0.42454183820031133,0.04450925751945727,0.008166603158262314,-0.5342065581793857,0.005971359698411308,-0.09410310658615613,3.162277660168379e-08
-0.15908540276436398,1e-06,0.04628355242724027,0.008395576132033171,-0.4914258032050741,0.005664918527829159,-0.09410310363691293,3.162277660168379e-08
0.14564619568989742,0.6008032272490003,0.041764643078993254,0.009304472539176052,-0.40071923574273666,0.0024292566867473195,-0.09410310121513253,3.162277660168379e-08
0.13782788126061174,1.1328588904994092,0.04297309292625664,0.0087640220391358,-0.4191782218620671,0.005774473474548152,-0.09410309943707942,3.162277660168379e-08
0.0983615448947599,1.4485227751132284,0.04460520126149613,0.008894142074922914,-0.449149744120629,0.0038751249384238635,-0.09410309595495156,3.162277660168379e-08
0.2207974227939326,1.2231181253894663,0.04366472024491505,0.008474862948165107,-0.4108121861171456,0.008246847353402564,-0.09410309220335228,3.162277660168379e-08
-0.09614344441491329,1.5279959545053556,0.04436002151077231,0.007982839047898718,-0.4557941176205065,0.006767752218366299,-0.09410309042251776,3.162277660168379e-08
0.1335136615644139,0.434558803499685,0.047561022827908514,0.007976298224660026,-0.49647026131231586,0.004495551061662002,-0.09410308815580876,3.162277660168379e-08
0.021441510613907422,0.5087541776219978,0.052100852649785534,0.00828622468671051,-0.5017459164691263,0.011405284072234111,-0.09410308537377678,3.162277660168379e-08
0.03747147323513186,0.47335352749354287,0.049135575119398735,0.009098237574606472,-0.47740512364720605,0.003746971001577409,-0.09410308680992105,3.162277660168379e-08
0.1314191657791226,0.013652630707065239,0.14386527174244335,0.008595432618584774,-0.5294300912931718,0.005968502613377556,-0.09410308543534261,3.162277660168379e-08
0.003934851895820657,1e-06,0.048700992651779025,0.00964253840921654,-0.4898942649309227,0.010455527128534174,-0.09410308553729567,3.162277660168379e-08
0.15852562193438668,1.3488995032735598,0.04319898275854053,0.009114845173335382,-0.4749974442970459,0.0048451333486666266,-0.0941030846772739,3.162277660168379e-08
-0.012269978142358492,0.8205226396732249,0.039766329606978144,0.008779021985580771,-0.5125305423685538,0.006561279601226018,-0.09410308197172336,3.162277660168379e-08
0.012971307512516777,1.0610709134706207,0.04106971387031462,0.008876787529197329,-0.4533833992113956,0.0028928126878349177,-0.09410308329901365,3.162277660168379e-08
0.031427807538137495,1.707677373328512,0.04034700133197995,0.00857827105626906,-0.4667510989706842,0.0036968748745576205,-0.09410308672186958,3.162277660168379e-08
