game_id,market,actor,actor_id,price,round,type,date,time,,,
9IRpFsLVpeuM,diamonds,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.744895833,,,
9IRpFsLVpeuM,spades,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,buy,13/03/2025,0.740486111,,,
9IRpFsLVpeuM,diamonds,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.7415625,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.746678241,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,sell,13/03/2025,0.745543981,,,
9IRpFsLVpeuM,diamonds,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.749537037,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,buy,13/03/2025,0.750868056,,,
9IRpFsLVpeuM,diamonds,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.745092593,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.742534722,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,sell,13/03/2025,0.744803241,,,
9IRpFsLVpeuM,diamonds,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.741516204,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.748090278,,,
9IRpFsLVpeuM,diamonds,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.749444444,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,buy,13/03/2025,0.749363426,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.749733796,,,
9IRpFsLVpeuM,diamonds,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.744826389,,,
9IRpFsLVpeuM,diamonds,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.740925926,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,buy,13/03/2025,0.74056713,,,
9IRpFsLVpeuM,hearts,Naboth,7d71d6f2-b4a7-4608-8676-cc5b3875c914,1,32,sell,13/03/2025,0.747268519,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,buy,13/03/2025,0.746851852,,,
9IRpFsLVpeuM,hearts,Naboth,7d71d6f2-b4a7-4608-8676-cc5b3875c914,1,32,sell,13/03/2025,0.747534722,,,
9IRpFsLVpeuM,hearts,Naboth,7d71d6f2-b4a7-4608-8676-cc5b3875c914,1,32,buy,13/03/2025,17:45:04,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,sell,13/03/2025,0.743819444,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,buy,13/03/2025,17:45:12,,,
9IRpFsLVpeuM,hearts,Naboth,7d71d6f2-b4a7-4608-8676-cc5b3875c914,1,32,buy,13/03/2025,0.74787037,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,sell,13/03/2025,0.744560185,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,buy,13/03/2025,0.749409722,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,sell,13/03/2025,0.739976852,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.74244213,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,buy,13/03/2025,0.748865741,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.74775463,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.743888889,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.747708333,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.745046296,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.740960648,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.748530093,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.744502315,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.741875,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.74,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.747268519,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.742581019,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.749016204,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.748877315,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,sell,13/03/2025,0.748796296,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.745844907,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.749270833,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.742222222,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.750277778,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,sell,13/03/2025,0.743599537,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.74525463,,,
9IRpFsLVpeuM,clubs,Vanessa,6346b5a3-f5c1-4e22-a713-008c645d62c3,100,32,buy,13/03/2025,0.741365741,,,
9IRpFsLVpeuM,clubs,Sabrina,318bbab8-6f7f-4c3d-b5bd-a17283d51e95,100,32,buy,13/03/2025,17:44:48,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.741921296,,,
9IRpFsLVpeuM,hearts,Bozhidar,cf855af5-8545-41c6-896a-7df4fcf0bbb5,1,32,sell,13/03/2025,0.74931713,,,
9IRpFsLVpeuM,hearts,Huz,2243457b-1fb8-4e1e-8d77-e0172e6adc8f,1,32,sell,13/03/2025,0.748854167,,,
