mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-0.3876468184353973,1.4666699080677295,0.04709403198891845,0.010987415429610478,-0.18998424388561866,4.2399176774604964e-113,-0.310792708816342,3.162277660168379e-08
-0.5343660275727262,2.3416544063575975,0.04472237103678453,0.01052916408506849,-0.20730474053648898,1.0,-0.31079269883455224,3.162277660168379e-08
-0.11071243319104486,0.6320312276752157,0.04284948509452386,0.01082911953108158,-0.08198081214151527,1.7389159991756827e-122,-0.31079269866597914,3.162277660168379e-08
-0.6668814484585746,1e-06,0.043652770023561875,0.011362081090776565,-0.166256777024941,1.0000000000000002,-0.3107927011556997,3.162277660168379e-08
-0.047416493280179495,1e-06,0.04327675066120229,0.011519195496235033,-0.1456914994338764,3.2098785852004965e-119,-0.3107927014306981,3.162277660168379e-08
-0.11915497540591181,1e-06,0.06342287267259356,0.01666349799586837,0.07337116997199732,1.0,-0.3107927057837923,3.162277660168379e-08
-0.21853377171274704,2.1849479712148017,0.046500178798301046,0.013000244047920776,-0.07228953980225927,2.2375744430599532e-116,-0.3107927054856574,3.162277660168379e-08
-0.5757133292668348,1.8622880879041723,0.045788499959855435,0.011083394270610952,-0.19356921092652038,1.0,-0.3107926902061534,3.162277660168379e-08
-0.13382573957083976,1e-06,0.045748804552343335,0.011180202581353039,-0.10749574567877701,1.2731036502260156e-123,-0.3107926861287059,3.162277660168379e-08
-0.4109752278986389,1e-06,0.037059224614181395,0.011378763222088166,-0.20576153733996078,1.0,-0.31079268122054493,3.162277660168379e-08
-0.8002759749008376,1.5867896541274564,0.0497284329110009,0.012654228701545601,-0.208524257374593,1.075805822327444e-110,-0.3107926839476362,3.162277660168379e-08
-0.41492507869764533,1.265698874339636,0.05119570171367309,0.01230136854245637,-0.19796175589170514,1.0,-0.3107926820430254,3.162277660168379e-08
-0.7003469156695643,1.8201104948277567,0.05097547490785514,0.011033606251156989,-0.190920189755318,8.628097425097054e-111,-0.31079268599056414,3.162277660168379e-08
-0.5843998742714095,0.06818257482354795,0.010644776637693974,0.010444387192659544,-0.23816844534560216,1.0,-0.3107926874911354,3.162277660168379e-08
-0.4226545056252759,0.10961860714088136,5.396527319208884e-05,0.010440236585282467,-0.14740065531880578,4.64937037702778e-116,-0.31079268891875617,3.162277660168379e-08
-0.7535510571562791,1.7572366047487387,0.04032017267241942,0.011482355471055942,-0.24138302987629562,0.9999999999999999,-0.3107926975495443,3.162277660168379e-08
-0.33128631241859785,1e-06,0.04308622418209243,0.011087670478974718,-0.13442827825051926,1.0258585767722668e-139,-0.31079269394175535,3.162277660168379e-08
-0.5677467707010347,1e-06,1e-06,0.01152997317023347,-0.1854989491469694,1.0,-0.3107927047268692,3.162277660168379e-08
-0.6913084306961167,0.947309850690982,0.036907050845326146,0.01163038012877364,-0.15449198409556947,4.512886108589163e-144,-0.31079270321455266,3.162277660168379e-08
-0.22785260351351835,1e-06,0.03545293918889853,0.011195937939288764,-0.1167891636822813,1.0,-0.31079270016447336,3.162277660168379e-08
-0.17949284390681053,0.42288225303058274,0.05436763867910142,0.011770133774273012,-0.08675965639100301,8.45522187600942e-139,-0.31079269748134547,3.162277660168379e-08
-0.6596620107816786,0.2375327720988664,0.08234012208193463,0.011204449349003748,-0.1856165504677502,0.9999999999999998,-0.3107927041139276,3.162277660168379e-08
