price,variance
100,0.04
99.59590952,0.039929944
98.74296209,0.039993328
101.7842128,0.039633061
100.0129765,0.039757466
99.07960584,0.039754295
100.6325,0.039614193
98.61895245,0.039807415
97.32758019,0.039727416
96.40938221,0.039868307
94.9224032,0.03990243
95.51291337,0.039745905
95.11770686,0.039708775
94.5744416,0.039695711
94.20740258,0.039852604
94.998003,0.039740376
95.36043625,0.039827057
94.61938989,0.039858945
95.51734141,0.039820104
95.86815783,0.039757396
95.65568926,0.039614873
94.99107804,0.039704203
95.20361507,0.039729453
96.99501252,0.039719185
99.05668221,0.039336562
97.09304238,0.039677106
96.50962201,0.039492477
97.09060684,0.039461093
96.08768021,0.039677402
94.72758723,0.039816305
93.60731504,0.039736059
92.93562115,0.039801093
93.94984131,0.039897577
92.54585717,0.039888122
92.38096194,0.03983651
92.15665125,0.039989987
92.88367582,0.040021689
95.25084574,0.039894136
93.55919843,0.040182796
92.77574907,0.040215643
93.76448399,0.040044807
93.45998586,0.039934453
92.54286604,0.040006638
92.18829248,0.040106205
90.38894184,0.040302568
89.56324457,0.040242238
88.94661521,0.040047481
88.79103583,0.040136529
88.9603886,0.040203274
89.16105061,0.040116024
89.10402135,0.040064601
87.99878655,0.040117963
86.42136269,0.040163479
86.82584186,0.040257596
88.59047717,0.039977027
88.74914464,0.039864496
88.93017135,0.039905079
89.34400486,0.039890287
89.54450713,0.039906026
90.34393831,0.039854847
90.60412249,0.039828198
91.51603526,0.039623079
90.94083897,0.039533791
90.44797504,0.039566127
90.55196789,0.039728596
88.06393309,0.039995118
88.20517907,0.040127809
87.15850643,0.040159641
89.04992251,0.040007246
90.38296945,0.039758571
92.7866566,0.039469213
92.69602563,0.039546036
94.13524918,0.039374381
94.84408305,0.03938158
93.30178192,0.039347057
92.91430941,0.039307118
91.50457463,0.03968853
93.65147782,0.039635593
93.10915357,0.03983043
91.71460304,0.039803284
92.24026217,0.039635762
93.97857404,0.039606844
94.23922406,0.039632939
93.79664901,0.039442075
92.22417823,0.039631385
93.78808781,0.03957053
92.36397902,0.039741974
91.53307082,0.039576885
93.21423765,0.039512144
93.96641026,0.039413122
94.99054275,0.039152705
94.74148325,0.039170188
93.64194368,0.039119703
95.50591131,0.038875577
96.10616961,0.038872092
96.46383246,0.038729793
97.84270535,0.038642109
96.6716754,0.038771222
94.8943766,0.038700333
94.54893374,0.038747477
95.54839426,0.038830262
94.40791672,0.038873768
93.47192372,0.039024073
93.29912416,0.039108057
93.58020846,0.039116605
94.09664104,0.039066658
93.8116638,0.039337061
92.34268641,0.039590454
93.07662913,0.039489644
93.52613612,0.039400452
92.62386744,0.039629028
90.6739316,0.039889097
89.5174034,0.039752956
89.73441045,0.039839631
91.50654774,0.039740334
92.5408412,0.039716618
95.24183253,0.039785569
95.41222971,0.039724453
95.05837218,0.039772481
96.39116953,0.039662434
93.99252887,0.039906056
93.19658662,0.039895099
92.3893058,0.040053821
91.64110354,0.040076771
90.32538145,0.040268704
90.06175965,0.040450154
90.33819817,0.040399646
90.81754016,0.04035104
93.04992514,0.040035422
93.12840357,0.04012667
93.20704893,0.040166264
94.33844574,0.04013616
95.06988822,0.039893331
95.50383361,0.039703894
93.58579842,0.039658592
93.70085944,0.039626226
93.5539115,0.039478695
94.35737764,0.039463099
95.47946766,0.039430094
94.74748135,0.039325226
96.17018918,0.039260713
97.41868177,0.039087107
97.4106493,0.039159583
99.53370887,0.039030645
100.5509867,0.039112509
101.7434762,0.039017986
101.8930896,0.038995748
100.575127,0.038944109
99.48237001,0.03902072
99.13725879,0.039000668
98.28787739,0.03893207
100.7545894,0.038706411
99.68388972,0.038704632
98.65014603,0.038865959
98.93762983,0.038900073
100.5324278,0.038843668
102.701082,0.038833596
102.5883275,0.03880363
102.2819572,0.038922604
103.1817543,0.03868238
101.0060715,0.038833032
100.6377141,0.039010448
99.99661361,0.039186369
99.02639214,0.039557078
97.77560689,0.039568191
98.67282764,0.039594131
99.58056513,0.039632685
97.85807294,0.039871445
99.24255016,0.039750267
100.7208894,0.039501811
100.1150486,0.039567606
101.3840524,0.039475709
102.1275222,0.039303041
103.8092366,0.039265574
103.824191,0.039366422
104.8899878,0.039541394
104.4372016,0.039643069
103.0923351,0.039861249
104.1149283,0.039823602
104.0886619,0.039707234
104.6866663,0.039445789
104.0004519,0.039342426
102.6382196,0.039268741
103.3950769,0.039181244
103.3881234,0.039143255
103.2351884,0.039215072
103.3630671,0.039168936
103.1132192,0.039236411
102.6557905,0.039035139
100.68175,0.039167482
102.6599553,0.039099093
102.6713301,0.038980907
102.7032875,0.039061741
101.942335,0.039133311
101.57595,0.039103971
99.70815329,0.039173146
100.4512757,0.039041446
100.689596,0.038994944
101.2495458,0.039015763
99.24275338,0.039160622
100.8037907,0.039221449
102.6023712,0.039236867
101.3380821,0.039230207
101.6693679,0.039376223
100.6097203,0.039347091
100.0581134,0.039347759
99.9676069,0.039465738
99.20076316,0.039352831
98.31041951,0.039189324
97.76442295,0.039265939
99.41591578,0.039221007
100.3083863,0.039197676
102.6142037,0.038934875
102.1752402,0.039032017
101.3672862,0.038873862
100.1360005,0.03889319
98.88274137,0.038876821
