time,price,variance
0.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000083e-02
3.968253968253968034e-03,1.009163205770579737e+02,4.027007753073208463e-02
7.936507936507936067e-03,1.010289146215420431e+02,4.038163506612313380e-02
1.190476190476190410e-02,1.021526653770474553e+02,4.023663973613506029e-02
1.587301587301587213e-02,1.044362106268870178e+02,4.025660119603647474e-02
1.984126984126984017e-02,1.044261284899539532e+02,4.039050370432693826e-02
2.380952380952380820e-02,1.044155277818767615e+02,4.029498470063163501e-02
2.777777777777777624e-02,1.068270018505490384e+02,4.042512835936572235e-02
3.174603174603174427e-02,1.081796595533701435e+02,4.055224250775385508e-02
3.571428571428571230e-02,1.078455617967316300e+02,4.041845999418727797e-02
3.968253968253968034e-02,1.089004470073841304e+02,4.043737528867753089e-02
4.365079365079364837e-02,1.085733940831159998e+02,4.003584832894302448e-02
4.761904761904761640e-02,1.082474177885869437e+02,3.989388589660325390e-02
5.158730158730158444e-02,1.088888441076845766e+02,3.987735920341246854e-02
5.555555555555555247e-02,1.066042320235356016e+02,3.963771299556120148e-02
5.952380952380952051e-02,1.046220272255388295e+02,3.974025657464910072e-02
6.349206349206348854e-02,1.041838346560460167e+02,3.954844136942387706e-02
6.746031746031745657e-02,1.031653562871757970e+02,3.944895596151416078e-02
7.142857142857142461e-02,1.038688911934289081e+02,3.948186203435134073e-02
7.539682539682539264e-02,1.029896240605344246e+02,3.960379787604289409e-02
7.936507936507936067e-02,1.014724656628682027e+02,3.936957414346900497e-02
8.333333333333332871e-02,1.036449953678748983e+02,3.957860118929955318e-02
8.730158730158729674e-02,1.036486036664552728e+02,3.957013081467597448e-02
9.126984126984126477e-02,1.040339075177620600e+02,3.946249718868052869e-02
9.523809523809523281e-02,1.024886730487689022e+02,3.944631301292694098e-02
9.920634920634920084e-02,1.020850111695060463e+02,3.944409220502628766e-02
1.031746031746031689e-01,1.025200335276247898e+02,3.938302539585021578e-02
1.071428571428571369e-01,1.013453544389420244e+02,3.933591581269093446e-02
1.111111111111111049e-01,1.021142939366209106e+02,3.931320533886047131e-02
1.150793650793650730e-01,1.016418597602462341e+02,3.929891719183217086e-02
1.190476190476190410e-01,1.015628346530752140e+02,3.936291195206691185e-02
1.230158730158730090e-01,1.010911132722877284e+02,3.951703252681480760e-02
1.269841269841269771e-01,1.037601356456429897e+02,3.946966474430443211e-02
1.309523809523809312e-01,1.040402090365005847e+02,3.971575682825084774e-02
1.349206349206349131e-01,1.029623110066190179e+02,3.943916551135279169e-02
1.388888888888888951e-01,1.043257040731237595e+02,3.946514845737517790e-02
1.428571428571428492e-01,1.030386643357169163e+02,3.947363617905140509e-02
1.468253968253968034e-01,1.036047186130382300e+02,3.951841313442743669e-02
1.507936507936507853e-01,1.013831448591995041e+02,3.935069341855976927e-02
1.547619047619047672e-01,1.000004223179389982e+02,3.926304519162984036e-02
1.587301587301587213e-01,1.005340628791209241e+02,3.921939867377103456e-02
1.626984126984126755e-01,1.017556342549843578e+02,3.919195992773814169e-02
1.666666666666666574e-01,1.022659104816817575e+02,3.930082256002061930e-02
1.706349206349206393e-01,1.024112941333418831e+02,3.933868282647703246e-02
1.746031746031745935e-01,1.023194437723208097e+02,3.924691271148497695e-02
1.785714285714285476e-01,1.007370083801683052e+02,3.927898973821448286e-02
1.825396825396825295e-01,1.001221626124591353e+02,3.928106522213750673e-02
1.865079365079365115e-01,9.983360488361496721e+01,3.935392759552711062e-02
1.904761904761904656e-01,1.014514227662221799e+02,3.948144708208135151e-02
1.944444444444444198e-01,1.021809864775141676e+02,3.940560735481966892e-02
1.984126984126984017e-01,1.002396380805962934e+02,3.925557805418656426e-02
2.023809523809523836e-01,1.009346771741940643e+02,3.936019502553975841e-02
2.063492063492063378e-01,1.007382593101849722e+02,3.941339699140511410e-02
2.103174603174602919e-01,1.001755997535937439e+02,3.937946643673951447e-02
2.142857142857142738e-01,1.012341074531079812e+02,3.942595672323413042e-02
2.182539682539682557e-01,1.028422404417248970e+02,3.962628758105717075e-02
2.222222222222222099e-01,1.043487303132131387e+02,3.960649398676333033e-02
2.261904761904761640e-01,1.035528079043325391e+02,3.962883333202498609e-02
2.301587301587301460e-01,1.034479218327166308e+02,3.959155722023957602e-02
