time,price,variance
8.412698412698411676e-01,1.049406286717723304e+02,1.692413328214116695e-07
8.452380952380952328e-01,1.049640472553799526e+02,7.684657670761735628e-08
8.492063492063491870e-01,1.049860697221014618e+02,8.217190155234816105e-08
8.531746031746031411e-01,1.050063045359324860e+02,2.142212844105477846e-07
8.571428571428570953e-01,1.050294652786607230e+02,1.515132248695937030e-07
8.611111111111110494e-01,1.050483158232013494e+02,1.492238418986017877e-07
8.650793650793650036e-01,1.050685552874195849e+02,8.093957004105604172e-08
8.690476190476189577e-01,1.050884901519531383e+02,2.173310056506980098e-07
8.730158730158730229e-01,1.051095957917686263e+02,1.855606691675048087e-07
8.769841269841269771e-01,1.051370563645666039e+02,6.985660886945861659e-08
8.809523809523809312e-01,1.051546497224219650e+02,1.627279900542669027e-07
8.849206349206348854e-01,1.051773499399852341e+02,8.283169764351874599e-08
8.888888888888888395e-01,1.051951447161922459e+02,1.474531272646377636e-07
8.928571428571427937e-01,1.052148176914377729e+02,1.870559599732586319e-07
8.968253968253967479e-01,1.052388178972754531e+02,1.463686341463870673e-07
9.007936507936507020e-01,1.052598637217241873e+02,7.627521648898783478e-08
9.047619047619046562e-01,1.052787766481007026e+02,6.567704809598707241e-08
9.087301587301587213e-01,1.052984513867409930e+02,6.751275713283908762e-08
9.126984126984126755e-01,1.053205175300110028e+02,1.158112240098088624e-07
9.166666666666666297e-01,1.053397671612786723e+02,8.129221735392388004e-08
9.206349206349205838e-01,1.053610795827705715e+02,1.556819141458140316e-07
9.246031746031745380e-01,1.053821059667440494e+02,1.352553291742342850e-07
9.285714285714284921e-01,1.054014260223871275e+02,6.291693607321202188e-08
9.325396825396824463e-01,1.054259124529655196e+02,2.201914300942496614e-07
9.365079365079365115e-01,1.054488082509496962e+02,1.919720505569327815e-07
9.404761904761904656e-01,1.054638375844843949e+02,1.550431271153692009e-07
9.444444444444444198e-01,1.054852528459156531e+02,2.145546498733599242e-07
9.484126984126983739e-01,1.055041471662166970e+02,1.620805496109302018e-07
